college_name,branch,rank
Indian Institute  of Technology Tirupati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",3701
Indian Institute  of Technology Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",3723
"National Institute of Technology, Rourkela","Computer Science and Engineering (4 Years, Bachelor of Technology)",3786
Indian Institute  of Technology Hyderabad,"Electrical Engineering (4 Years, Bachelor of Technology)",3787
National Institute of Technology Patna,"Architecture  (5 Years, Bachelor of Architecture)",3801
"National Institute of Technology, Warangal","Computer Science and Engineering (4 Years, Bachelor of Technology)",3830
Indian Institute  of Technology Roorkee,"Mechanical Engineering (4 Years, Bachelor of Technology)",3854
Indian Institute  of Technology Indore,"Mathematics and Computing (4 Years, Bachelor of Technology)",3871
Indian Institute  of Technology Kanpur,"Statistics and Data Science (4 Years, Bachelor of Science)",3907
Indian Institute  of Technology Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",3918
"National Institute of Technology Karnataka, Surathkal","Computational and Data Science (4 Years, Bachelor of Technology)",3922
Indian Institute  of Technology Gandhinagar,"Electrical Engineering (4 Years, Bachelor of Technology)",3962
Indian Institute  of Technology Kanpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",4027
Indian Institute  of Technology Delhi,"Materials Engineering (4 Years, Bachelor of Technology)",4055
Indian Institute  of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",4077
Indian Institute  of Technology Hyderabad,"Engineering Science (4 Years, Bachelor of Technology)",4079
Indian Institute  of Technology Mandi,"Data Science and Engineering (4 Years, Bachelor of Technology)",4089
Maulana Azad National Institute of Technology Bhopal,"Planning (4 Years, Bachelor of Planning)",4105
"National Institute of Technology, Warangal","Mathematics and Computing (4 Years, Bachelor of Technology)",4106
"National Institute of Technology Karnataka, Surathkal","Artificial Intelligence (4 Years, Bachelor of Technology)",4161
Indian Institute  of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",4173
Indian Institute  of Technology Guwahati,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",4199
Indian Institute  of Technology Ropar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",4212
Indian Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",4232
Indian Institute  of Technology Mandi,"B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",4265
"National Institute of Technology Karnataka, Surathkal","Computer Science and Engineering (4 Years, Bachelor of Technology)",4267
Indian Institute  of Technology Roorkee,"Mathematics & Computing (5 Years, Bachelor of Science and Master of Science (Dual Degree))",4340
Indian Institute  of Technology Kanpur,"Chemical Engineering (4 Years, Bachelor of Technology)",4344
Indian Institute  of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",4362
Indian Institute  of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",4371
"National Institute of Technology, Warangal","Mathematics and Computing (4 Years, Bachelor of Technology)",4393
Indian Institute  of Technology Madras,"Engineering Design (5 Years, Bachelor and Master of Technology (Dual Degree))",4436
Indian Institute  of Technology Madras,"Chemical Engineering (4 Years, Bachelor of Technology)",4439
Indian Institute  of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",4472
Indian Institute  of Technology Hyderabad,"Electrical Engineering (IC Design and Technology) (4 Years, Bachelor of Technology)",4527
"National Institute of Technology, Warangal","Computer Science and Engineering (4 Years, Bachelor of Technology)",4530
Indian Institute  of Technology Roorkee,"Engineering Physics (4 Years, Bachelor of Technology)",4535
"National Institute of Technology, Tiruchirappalli","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",4642
Indian Institute  of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",4647
Indian Institute  of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",4649
Indian Institute  of Technology (BHU) Varanasi,"Electrical Engineering with M.Tech. in Power Electronics (5 Years, Bachelor and Master of Technology (Dual Degree))",4662
Indian Institute  of Technology (ISM) Dhanbad,"Mathematics and Computing (5 Years, Integrated Master of Technology)",4710
Indian Institute  of Technology Madras,"Engineering Physics (4 Years, Bachelor of Technology)",4716
Indian Institute  of Technology Patna,"Mathematics and Computing (4 Years, Bachelor of Technology)",4749
Indian Institute  of Technology Guwahati,"Mechanical Engineering (4 Years, Bachelor of Technology)",4754
Indian Institute  of Technology Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",4773
Motilal Nehru National Institute of Technology Allahabad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",4777
Indian Institute  of Technology Gandhinagar,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",4803
Indian Institute  of Technology Kharagpur,"Mechanical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",4827
Indian Institute of Technology Jammu,"Computer Science and Engineering (4 Years, Bachelor of Technology)",4856
Indian Institute  of Technology Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",4865
Indian Institute  of Technology Hyderabad,"Computational Engineering (4 Years, Bachelor of Technology)",4866
National Institute of Technology Hamirpur,"Architecture  (5 Years, Bachelor of Architecture)",4868
Malaviya National Institute of Technology Jaipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",4909
Indian Institute  of Technology Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",4944
"National Institute of Technology Karnataka, Surathkal","Information Technology (4 Years, Bachelor of Technology)",4969
Indian Institute  of Technology Hyderabad,"Mechanical Engineering (4 Years, Bachelor of Technology)",4976
Indian Institute  of Technology Roorkee,"Chemical Engineering (4 Years, Bachelor of Technology)",5015
Indian Institute  of Technology Roorkee,"Electrical Engineering (4 Years, Bachelor of Technology)",5040
Indian Institute  of Technology Kharagpur,"Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",5137
Indian Institute  of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",5154
Indian Institute  of Technology Palakkad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",5162
